orderRef,refundedAt,amount,currency,reason,items,order_id,refunded_at,refundAmount,currencyCode,refund_reason,refunded_items,order,ts,amt,ccy,items_refunded
ORD-000331,2023-02-07T22:26:54,2500.0,NGN,customer_request,"[{'sku': 'SKU-0035', 'qty': 1, 'amount': 2500}]",,,,,,,,,,,
,,,,,,ORD-000195,2023-05-16T04:07:38Z,1500.0,NGN,late_delivery,"[{'sku': 'SKU-0103', 'qty': 1, 'amount': 1500}]",,,,,
ORD-000715,2023-06-27T06:18:19,25000.0,NGN,duplicate,,,,,,,,,,,,
,,,,,,ORD-000799,2023-07-03T18:10:28Z,12000.0,NGN,late_delivery,,,,,,
,,,,,,ORD-000193,2023-09-09T11:09:55Z,10500.0,NGN,duplicate,"[{'sku': 'SKU-0050', 'qty': 2, 'amount': 4000}, {'sku': 'SKU-0187', 'qty': 2, 'amount': 6500}]",,,,,
ORD-000021,2023-12-11T23:12:36,9000.0,NGN,damaged,"[{'sku': 'SKU-0020', 'qty': 1, 'amount': 6500}, {'sku': 'SKU-0007', 'qty': 2, 'amount': 2500}]",,,,,,,,,,,
,,,,,,ORD-001000,2023-10-20T01:53:55Z,1500.0,NGN,late_delivery,"[{'sku': 'SKU-0184', 'qty': 2, 'amount': 1500}]",,,,,
,,,,,,ORD-000606,2023-03-26T14:48:55Z,3000.0,NGN,late_delivery,"[{'sku': 'SKU-0090', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0003', 'qty': 1, 'amount': 1500}]",,,,,
,,,,,,ORD-001194,2023-04-29T10:54:01Z,5000.0,USD,late_delivery,"[{'sku': 'SKU-0065', 'qty': 2, 'amount': 2500}, {'sku': 'SKU-0034', 'qty': 2, 'amount': 2500}]",,,,,
ORD-000191,2023-11-01T05:07:04,9000.0,NGN,damaged,,,,,,,,,,,,
ORD-000663,2023-09-08T11:37:30,4000.0,NGN,late_delivery,"[{'sku': 'SKU-0170', 'qty': 2, 'amount': 1500}, {'sku': 'SKU-0076', 'qty': 1, 'amount': 2500}]",,,,,,,,,,,
,,,,,,ORD-000013,2023-04-25T19:12:25Z,8000.0,NGN,damaged,"[{'sku': 'SKU-0003', 'qty': 1, 'amount': 4000}, {'sku': 'SKU-0042', 'qty': 1, 'amount': 4000}]",,,,,
,,,,duplicate,,,,,,,,ORD-000415,1694624078.0,2500.0,NGN,"[{'sku': 'SKU-0115', 'qty': 2, 'amount': 2500}]"
ORD-001119,2023-12-19T10:20:03,5000.0,NGN,late_delivery,,,,,,,,,,,,
,,,,,,ORD-000758,2023-09-21T16:26:04Z,5500.0,NGN,late_delivery,"[{'sku': 'SKU-0157', 'qty': 2, 'amount': 4000}, {'sku': 'SKU-0009', 'qty': 1, 'amount': 1500}]",,,,,
,,,,damaged,,,,,,,,ORD-000385,1679381875.0,8000.0,NGN,"[{'sku': 'SKU-0158', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0161', 'qty': 1, 'amount': 6500}]"
ORD-000889,2023-02-23T01:22:17,18000.0,NGN,damaged,,,,,,,,,,,,
,,,,,,ORD-000792,2023-10-07T22:50:00Z,6500.0,USD,damaged,"[{'sku': 'SKU-0096', 'qty': 2, 'amount': 4000}, {'sku': 'SKU-0066', 'qty': 2, 'amount': 2500}]",,,,,
,,,,damaged,,,,,,,,ORD-000098,1681305126.0,5000.0,NGN,
,,,,duplicate,,,,,,,,ORD-000508,1692004485.0,5000.0,NGN,
,,,,,,ORD-001054,2023-02-16T12:40:23Z,6500.0,NGN,damaged,"[{'sku': 'SKU-0195', 'qty': 1, 'amount': 4000}, {'sku': 'SKU-0213', 'qty': 1, 'amount': 2500}]",,,,,
ORD-000684,2023-01-05T08:27:13,5500.0,USD,duplicate,"[{'sku': 'SKU-0086', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0213', 'qty': 1, 'amount': 4000}]",,,,,,,,,,,
ORD-001086,2023-11-11T07:25:20,5000.0,USD,damaged,,,,,,,,,,,,
ORD-000399,2023-06-18T04:26:50,2500.0,NGN,damaged,"[{'sku': 'SKU-0207', 'qty': 1, 'amount': 2500}]",,,,,,,,,,,
ORD-000039,2023-10-14T11:08:07,5500.0,NGN,customer_request,"[{'sku': 'SKU-0151', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0036', 'qty': 1, 'amount': 4000}]",,,,,,,,,,,
ORD-001003,2023-08-13T17:18:40,5500.0,NGN,late_delivery,"[{'sku': 'SKU-0075', 'qty': 2, 'amount': 4000}, {'sku': 'SKU-0194', 'qty': 2, 'amount': 1500}]",,,,,,,,,,,
,,,,,,ORD-000239,2023-04-07T00:23:05Z,6500.0,NGN,damaged,"[{'sku': 'SKU-0053', 'qty': 2, 'amount': 2500}, {'sku': 'SKU-0141', 'qty': 1, 'amount': 4000}]",,,,,
,,,,,,ORD-000847,2023-06-14T21:39:28Z,18000.0,NGN,duplicate,,,,,,
,,,,,,ORD-001154,2023-03-11T22:14:50Z,18000.0,NGN,duplicate,,,,,,
,,,,,,ORD-000343,2023-03-30T16:29:15Z,4000.0,NGN,late_delivery,"[{'sku': 'SKU-0146', 'qty': 1, 'amount': 4000}]",,,,,
,,,,,,ORD-000831,2023-09-23T08:13:53Z,12000.0,NGN,customer_request,,,,,,
,,,,,,ORD-000479,2023-03-16T06:03:01Z,6500.0,NGN,customer_request,"[{'sku': 'SKU-0038', 'qty': 2, 'amount': 6500}]",,,,,
ORD-000884,2023-12-29T04:31:49,6500.0,NGN,customer_request,"[{'sku': 'SKU-0149', 'qty': 1, 'amount': 6500}]",,,,,,,,,,,
,,,,late_delivery,,,,,,,,ORD-000328,1681524665.0,2500.0,NGN,"[{'sku': 'SKU-0113', 'qty': 2, 'amount': 2500}]"
,,,,customer_request,,,,,,,,ORD-000511,1674049844.0,9000.0,USD,"[{'sku': 'SKU-0049', 'qty': 1, 'amount': 2500}, {'sku': 'SKU-0073', 'qty': 2, 'amount': 6500}]"
,,,,late_delivery,,,,,,,,ORD-000896,1691373280.0,6500.0,NGN,"[{'sku': 'SKU-0189', 'qty': 2, 'amount': 6500}]"
ORD-000350,2023-06-22T21:53:01,5500.0,NGN,damaged,"[{'sku': 'SKU-0202', 'qty': 1, 'amount': 4000}, {'sku': 'SKU-0192', 'qty': 2, 'amount': 1500}]",,,,,,,,,,,
,,,,,,ORD-000663,2023-11-05T03:58:12Z,18000.0,NGN,duplicate,,,,,,
,,,,duplicate,,,,,,,,ORD-000132,1675809902.0,12000.0,NGN,
,,,,,,ORD-000829,2023-03-31T20:45:01Z,2500.0,NGN,duplicate,"[{'sku': 'SKU-0139', 'qty': 2, 'amount': 2500}]",,,,,
ORD-000093,2023-04-26T19:32:54,6500.0,NGN,customer_request,"[{'sku': 'SKU-0103', 'qty': 2, 'amount': 6500}]",,,,,,,,,,,
,,,,customer_request,,,,,,,,ORD-001064,1674116295.0,12000.0,NGN,
,,,,duplicate,,,,,,,,ORD-001041,1693362494.0,6500.0,USD,"[{'sku': 'SKU-0072', 'qty': 2, 'amount': 6500}]"
,,,,late_delivery,,,,,,,,ORD-001139,1698762329.0,1500.0,NGN,"[{'sku': 'SKU-0067', 'qty': 2, 'amount': 1500}]"
,,,,,,ORD-000446,2023-11-21T02:05:31Z,1500.0,NGN,duplicate,"[{'sku': 'SKU-0176', 'qty': 1, 'amount': 1500}]",,,,,
ORD-000925,2023-10-24T08:44:19,1500.0,NGN,duplicate,"[{'sku': 'SKU-0078', 'qty': 2, 'amount': 1500}]",,,,,,,,,,,
,,,,customer_request,,,,,,,,ORD-000007,1690135775.0,25000.0,NGN,
,,,,,,ORD-000166,2023-04-22T03:50:31Z,2500.0,NGN,late_delivery,"[{'sku': 'SKU-0185', 'qty': 2, 'amount': 2500}]",,,,,
ORD-001137,2023-03-21T00:25:47,18000.0,USD,duplicate,,,,,,,,,,,,
,,,,customer_request,,,,,,,,ORD-000331,1688885034.0,5000.0,NGN,
,,,,,,ORD-000746,2023-12-15T18:38:51Z,3000.0,NGN,duplicate,"[{'sku': 'SKU-0176', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0128', 'qty': 1, 'amount': 1500}]",,,,,
,,,,,,ORD-000815,2023-01-25T15:29:12Z,1500.0,NGN,late_delivery,"[{'sku': 'SKU-0128', 'qty': 2, 'amount': 1500}]",,,,,
,,,,,,ORD-001068,2023-06-06T18:25:31Z,6500.0,NGN,customer_request,"[{'sku': 'SKU-0153', 'qty': 2, 'amount': 2500}, {'sku': 'SKU-0003', 'qty': 2, 'amount': 4000}]",,,,,
,,,,,,ORD-000008,2023-09-27T20:19:34Z,9000.0,NGN,duplicate,"[{'sku': 'SKU-0123', 'qty': 1, 'amount': 2500}, {'sku': 'SKU-0137', 'qty': 1, 'amount': 6500}]",,,,,
,,,,,,ORD-001107,2023-12-18T17:48:15Z,5000.0,NGN,duplicate,,,,,,
,,,,,,ORD-000377,2023-09-08T23:28:03Z,18000.0,NGN,damaged,,,,,,
,,,,late_delivery,,,,,,,,ORD-000512,1683157947.0,1500.0,NGN,"[{'sku': 'SKU-0062', 'qty': 1, 'amount': 1500}]"
,,,,damaged,,,,,,,,ORD-000343,1682614712.0,5000.0,NGN,
,,,,customer_request,,,,,,,,ORD-000885,1700430180.0,9000.0,NGN,
,,,,,,ORD-000797,2023-08-03T14:03:05Z,3000.0,NGN,duplicate,"[{'sku': 'SKU-0098', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0125', 'qty': 2, 'amount': 1500}]",,,,,
ORD-001150,2023-04-10T03:47:07,6500.0,NGN,duplicate,"[{'sku': 'SKU-0009', 'qty': 1, 'amount': 6500}]",,,,,,,,,,,
,,,,customer_request,,,,,,,,ORD-000584,1687511073.0,6500.0,NGN,"[{'sku': 'SKU-0054', 'qty': 2, 'amount': 6500}]"
ORD-000983,2023-11-08T20:21:22,18000.0,NGN,late_delivery,,,,,,,,,,,,
,,,,customer_request,,,,,,,,ORD-000052,1686490342.0,12000.0,NGN,
,,,,,,ORD-000492,2023-08-05T10:42:31Z,18000.0,NGN,damaged,,,,,,
,,,,,,ORD-000972,2023-01-29T21:57:08Z,12000.0,NGN,duplicate,,,,,,
,,,,,,ORD-000851,2023-12-28T18:06:37Z,18000.0,NGN,damaged,,,,,,
ORD-000853,2023-12-18T22:20:03,9000.0,NGN,damaged,,,,,,,,,,,,
,,,,,,ORD-000987,2023-07-07T01:23:43Z,12000.0,NGN,duplicate,,,,,,
,,,,,,ORD-000567,2023-07-16T03:53:13Z,4000.0,NGN,duplicate,"[{'sku': 'SKU-0112', 'qty': 2, 'amount': 4000}]",,,,,
,,,,damaged,,,,,,,,ORD-000390,1702283525.0,9000.0,NGN,
,,,,,,ORD-000547,2023-01-02T16:30:48Z,9000.0,NGN,duplicate,"[{'sku': 'SKU-0127', 'qty': 1, 'amount': 2500}, {'sku': 'SKU-0163', 'qty': 1, 'amount': 6500}]",,,,,
,,,,duplicate,,,,,,,,ORD-000682,1691167038.0,9000.0,NGN,"[{'sku': 'SKU-0194', 'qty': 1, 'amount': 2500}, {'sku': 'SKU-0027', 'qty': 2, 'amount': 6500}]"
,,,,damaged,,,,,,,,ORD-000332,1682320792.0,6500.0,NGN,"[{'sku': 'SKU-0077', 'qty': 1, 'amount': 6500}]"
,,,,damaged,,,,,,,,ORD-000185,1677791328.0,4000.0,NGN,"[{'sku': 'SKU-0131', 'qty': 2, 'amount': 4000}]"
ORD-000247,2023-07-23T12:07:13,5000.0,NGN,duplicate,"[{'sku': 'SKU-0000', 'qty': 1, 'amount': 2500}, {'sku': 'SKU-0126', 'qty': 1, 'amount': 2500}]",,,,,,,,,,,
ORD-000623,2023-03-06T15:35:38,25000.0,NGN,damaged,,,,,,,,,,,,
,,,,,,ORD-000372,2023-12-17T05:11:23Z,10500.0,NGN,damaged,"[{'sku': 'SKU-0095', 'qty': 2, 'amount': 4000}, {'sku': 'SKU-0114', 'qty': 2, 'amount': 6500}]",,,,,
,,,,,,ORD-001068,2023-03-24T09:44:18Z,5000.0,NGN,late_delivery,,,,,,
,,,,,,ORD-000007,2023-06-03T03:05:21Z,8000.0,NGN,customer_request,"[{'sku': 'SKU-0122', 'qty': 2, 'amount': 1500}, {'sku': 'SKU-0053', 'qty': 1, 'amount': 6500}]",,,,,
,,,,customer_request,,,,,,,,ORD-000059,1687012960.0,18000.0,NGN,
ORD-000703,2023-01-31T19:00:11,4000.0,NGN,late_delivery,"[{'sku': 'SKU-0075', 'qty': 2, 'amount': 4000}]",,,,,,,,,,,
,,,,damaged,,,,,,,,ORD-000949,1692323992.0,6500.0,NGN,"[{'sku': 'SKU-0058', 'qty': 2, 'amount': 6500}]"
,,,,,,ORD-000939,2023-11-25T22:12:44Z,5000.0,NGN,late_delivery,,,,,,
ORD-001140,2023-04-15T04:56:26,5000.0,NGN,damaged,,,,,,,,,,,,
ORD-000399,2023-12-05T06:59:24,8000.0,NGN,customer_request,"[{'sku': 'SKU-0155', 'qty': 2, 'amount': 6500}, {'sku': 'SKU-0180', 'qty': 2, 'amount': 1500}]",,,,,,,,,,,
,,,,,,ORD-001053,2023-10-22T07:11:35Z,5000.0,NGN,damaged,"[{'sku': 'SKU-0027', 'qty': 1, 'amount': 2500}, {'sku': 'SKU-0074', 'qty': 2, 'amount': 2500}]",,,,,
,,,,,,ORD-001079,2023-04-12T00:19:02Z,9000.0,NGN,duplicate,"[{'sku': 'SKU-0030', 'qty': 1, 'amount': 6500}, {'sku': 'SKU-0144', 'qty': 1, 'amount': 2500}]",,,,,
ORD-000427,2023-08-22T06:33:42,9000.0,NGN,customer_request,,,,,,,,,,,,
ORD-000335,2023-11-04T05:24:07,8000.0,USD,duplicate,"[{'sku': 'SKU-0084', 'qty': 2, 'amount': 1500}, {'sku': 'SKU-0212', 'qty': 1, 'amount': 6500}]",,,,,,,,,,,
,,,,,,ORD-000702,2023-05-31T10:28:19Z,25000.0,NGN,late_delivery,,,,,,
ORD-000269,2023-01-23T07:01:03,10500.0,NGN,customer_request,"[{'sku': 'SKU-0089', 'qty': 1, 'amount': 6500}, {'sku': 'SKU-0114', 'qty': 1, 'amount': 4000}]",,,,,,,,,,,
,,,,,,ORD-000108,2023-02-08T11:09:11Z,5000.0,NGN,damaged,"[{'sku': 'SKU-0097', 'qty': 2, 'amount': 2500}, {'sku': 'SKU-0124', 'qty': 1, 'amount': 2500}]",,,,,
,,,,,,ORD-000785,2023-03-26T17:02:29Z,3000.0,NGN,damaged,"[{'sku': 'SKU-0080', 'qty': 2, 'amount': 1500}, {'sku': 'SKU-0084', 'qty': 1, 'amount': 1500}]",,,,,
,,,,,,ORD-000686,2023-09-18T05:00:05Z,13000.0,NGN,damaged,"[{'sku': 'SKU-0076', 'qty': 1, 'amount': 6500}, {'sku': 'SKU-0052', 'qty': 2, 'amount': 6500}]",,,,,
ORD-000248,2023-09-20T04:18:16,8000.0,NGN,duplicate,"[{'sku': 'SKU-0215', 'qty': 2, 'amount': 1500}, {'sku': 'SKU-0129', 'qty': 2, 'amount': 6500}]",,,,,,,,,,,
ORD-001157,2023-04-26T08:24:31,5500.0,NGN,damaged,"[{'sku': 'SKU-0149', 'qty': 2, 'amount': 1500}, {'sku': 'SKU-0009', 'qty': 2, 'amount': 4000}]",,,,,,,,,,,
,,,,,,ORD-000956,2023-03-14T08:02:50Z,9000.0,NGN,customer_request,"[{'sku': 'SKU-0076', 'qty': 2, 'amount': 2500}, {'sku': 'SKU-0069', 'qty': 2, 'amount': 6500}]",,,,,
,,,,customer_request,,,,,,,,ORD-000125,1683739918.0,4000.0,NGN,"[{'sku': 'SKU-0140', 'qty': 2, 'amount': 4000}]"
,,,,,,ORD-000935,2023-02-05T02:17:01Z,5000.0,NGN,damaged,,,,,,
ORD-000782,2023-04-03T21:49:11,6500.0,NGN,customer_request,"[{'sku': 'SKU-0058', 'qty': 2, 'amount': 6500}]",,,,,,,,,,,
,,,,late_delivery,,,,,,,,ORD-000039,1694414534.0,18000.0,NGN,
,,,,late_delivery,,,,,,,,ORD-000001,1688291445.0,4000.0,NGN,"[{'sku': 'SKU-0214', 'qty': 1, 'amount': 4000}]"
,,,,late_delivery,,,,,,,,ORD-000926,1703747860.0,12000.0,USD,
ORD-000502,2023-10-24T08:21:55,5000.0,NGN,late_delivery,,,,,,,,,,,,
,,,,,,ORD-000372,2023-06-07T19:47:28Z,25000.0,NGN,late_delivery,,,,,,
,,,,,,ORD-000144,2023-12-17T07:35:24Z,5000.0,NGN,duplicate,"[{'sku': 'SKU-0053', 'qty': 1, 'amount': 2500}, {'sku': 'SKU-0202', 'qty': 1, 'amount': 2500}]",,,,,
ORD-000840,2023-04-28T16:35:44,18000.0,NGN,damaged,,,,,,,,,,,,
,,,,late_delivery,,,,,,,,ORD-000056,1681015929.0,4000.0,NGN,"[{'sku': 'SKU-0145', 'qty': 2, 'amount': 1500}, {'sku': 'SKU-0124', 'qty': 2, 'amount': 2500}]"
,,,,,,ORD-000609,2023-11-08T19:12:20Z,8000.0,NGN,duplicate,"[{'sku': 'SKU-0073', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0026', 'qty': 2, 'amount': 6500}]",,,,,
,,,,duplicate,,,,,,,,ORD-000100,1694413704.0,4000.0,NGN,"[{'sku': 'SKU-0135', 'qty': 1, 'amount': 4000}]"
ORD-001091,2023-12-23T04:12:23,4000.0,NGN,duplicate,"[{'sku': 'SKU-0210', 'qty': 1, 'amount': 4000}]",,,,,,,,,,,
,,,,,,ORD-000790,2023-01-11T01:14:58Z,4000.0,NGN,duplicate,"[{'sku': 'SKU-0158', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0107', 'qty': 1, 'amount': 2500}]",,,,,
ORD-000386,2023-11-02T02:38:30,12000.0,NGN,customer_request,,,,,,,,,,,,
ORD-000558,2023-12-27T08:12:27,13000.0,NGN,customer_request,"[{'sku': 'SKU-0177', 'qty': 1, 'amount': 6500}, {'sku': 'SKU-0205', 'qty': 2, 'amount': 6500}]",,,,,,,,,,,
,,,,,,ORD-000358,2023-06-24T09:35:24Z,25000.0,NGN,duplicate,,,,,,
ORD-000495,2023-04-03T19:51:20,25000.0,NGN,damaged,,,,,,,,,,,,
ORD-000317,2023-02-06T09:09:09,12000.0,NGN,late_delivery,,,,,,,,,,,,
,,,,,,ORD-000807,2023-02-02T14:41:45Z,1500.0,NGN,late_delivery,"[{'sku': 'SKU-0147', 'qty': 2, 'amount': 1500}]",,,,,
ORD-000577,2023-01-06T09:27:44,2500.0,NGN,duplicate,"[{'sku': 'SKU-0162', 'qty': 2, 'amount': 2500}]",,,,,,,,,,,
,,,,,,ORD-000836,2023-11-17T22:27:34Z,5500.0,NGN,duplicate,"[{'sku': 'SKU-0094', 'qty': 2, 'amount': 4000}, {'sku': 'SKU-0179', 'qty': 2, 'amount': 1500}]",,,,,
ORD-000127,2023-10-23T11:34:37,18000.0,NGN,late_delivery,,,,,,,,,,,,
,,,,,,ORD-000356,2023-04-12T02:15:27Z,4000.0,NGN,duplicate,"[{'sku': 'SKU-0180', 'qty': 1, 'amount': 4000}]",,,,,
ORD-000684,2023-05-12T21:46:18,9000.0,NGN,damaged,,,,,,,,,,,,
ORD-000881,2023-11-19T02:34:10,18000.0,NGN,customer_request,,,,,,,,,,,,
,,,,customer_request,,,,,,,,ORD-001017,1689683661.0,5500.0,NGN,"[{'sku': 'SKU-0182', 'qty': 2, 'amount': 1500}, {'sku': 'SKU-0116', 'qty': 1, 'amount': 4000}]"
,,,,customer_request,,,,,,,,ORD-000949,1681698574.0,12000.0,NGN,
,,,,damaged,,,,,,,,ORD-000767,1701956337.0,10500.0,USD,"[{'sku': 'SKU-0013', 'qty': 2, 'amount': 4000}, {'sku': 'SKU-0194', 'qty': 2, 'amount': 6500}]"
ORD-000160,2023-01-24T02:10:26,13000.0,NGN,duplicate,"[{'sku': 'SKU-0027', 'qty': 2, 'amount': 6500}, {'sku': 'SKU-0024', 'qty': 1, 'amount': 6500}]",,,,,,,,,,,
ORD-000673,2023-11-04T01:36:44,6500.0,NGN,customer_request,"[{'sku': 'SKU-0096', 'qty': 1, 'amount': 4000}, {'sku': 'SKU-0079', 'qty': 2, 'amount': 2500}]",,,,,,,,,,,
,,,,,,ORD-000657,2023-09-19T06:35:23Z,1500.0,NGN,damaged,"[{'sku': 'SKU-0199', 'qty': 1, 'amount': 1500}]",,,,,
,,,,,,ORD-000098,2023-08-06T13:27:02Z,5500.0,NGN,duplicate,"[{'sku': 'SKU-0175', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0048', 'qty': 1, 'amount': 4000}]",,,,,
,,,,damaged,,,,,,,,ORD-000382,1693427398.0,4000.0,NGN,"[{'sku': 'SKU-0084', 'qty': 2, 'amount': 4000}]"
ORD-000784,2023-12-11T21:48:45,9000.0,NGN,duplicate,"[{'sku': 'SKU-0098', 'qty': 2, 'amount': 6500}, {'sku': 'SKU-0203', 'qty': 1, 'amount': 2500}]",,,,,,,,,,,
,,,,,,ORD-001189,2023-03-22T14:14:03Z,9000.0,NGN,customer_request,"[{'sku': 'SKU-0020', 'qty': 2, 'amount': 6500}, {'sku': 'SKU-0138', 'qty': 2, 'amount': 2500}]",,,,,
,,,,,,ORD-001159,2023-07-07T07:19:58Z,2500.0,NGN,customer_request,"[{'sku': 'SKU-0154', 'qty': 2, 'amount': 2500}]",,,,,
,,,,damaged,,,,,,,,ORD-000146,1692748086.0,25000.0,NGN,
,,,,damaged,,,,,,,,ORD-000828,1695745033.0,12000.0,NGN,
ORD-000860,2023-09-17T22:27:42,13000.0,NGN,damaged,"[{'sku': 'SKU-0000', 'qty': 1, 'amount': 6500}, {'sku': 'SKU-0053', 'qty': 1, 'amount': 6500}]",,,,,,,,,,,
,,,,,,ORD-001066,2023-11-16T10:34:56Z,1500.0,NGN,late_delivery,"[{'sku': 'SKU-0170', 'qty': 1, 'amount': 1500}]",,,,,
,,,,customer_request,,,,,,,,ORD-000700,1702940226.0,2500.0,NGN,"[{'sku': 'SKU-0118', 'qty': 2, 'amount': 2500}]"
,,,,,,ORD-000817,2023-12-24T03:14:23Z,5500.0,NGN,damaged,"[{'sku': 'SKU-0048', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0157', 'qty': 1, 'amount': 4000}]",,,,,
ORD-000551,2023-09-22T21:19:34,4000.0,NGN,customer_request,"[{'sku': 'SKU-0020', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0138', 'qty': 1, 'amount': 2500}]",,,,,,,,,,,
,,,,,,ORD-000402,2023-07-09T15:15:36Z,5000.0,NGN,late_delivery,,,,,,
ORD-000518,2023-12-13T21:17:31,5500.0,USD,customer_request,"[{'sku': 'SKU-0106', 'qty': 2, 'amount': 4000}, {'sku': 'SKU-0169', 'qty': 2, 'amount': 1500}]",,,,,,,,,,,
,,,,duplicate,,,,,,,,ORD-001001,1691762580.0,3000.0,NGN,"[{'sku': 'SKU-0107', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0093', 'qty': 1, 'amount': 1500}]"
,,,,duplicate,,,,,,,,ORD-000024,1672704532.0,4000.0,NGN,"[{'sku': 'SKU-0045', 'qty': 1, 'amount': 4000}]"
ORD-001165,2023-01-24T01:47:14,5000.0,NGN,late_delivery,,,,,,,,,,,,
,,,,late_delivery,,,,,,,,ORD-000774,1695876146.0,4000.0,USD,"[{'sku': 'SKU-0006', 'qty': 2, 'amount': 2500}, {'sku': 'SKU-0205', 'qty': 1, 'amount': 1500}]"
ORD-001006,2023-03-24T10:24:15,5500.0,USD,customer_request,"[{'sku': 'SKU-0214', 'qty': 2, 'amount': 4000}, {'sku': 'SKU-0189', 'qty': 2, 'amount': 1500}]",,,,,,,,,,,
ORD-000780,2023-11-04T02:07:02,2500.0,NGN,customer_request,"[{'sku': 'SKU-0125', 'qty': 2, 'amount': 2500}]",,,,,,,,,,,
ORD-000524,2023-07-31T00:42:19,4000.0,NGN,late_delivery,"[{'sku': 'SKU-0206', 'qty': 1, 'amount': 4000}]",,,,,,,,,,,
,,,,customer_request,,,,,,,,ORD-001092,1674091054.0,18000.0,NGN,
,,,,,,ORD-000707,2023-04-16T09:51:10Z,13000.0,NGN,customer_request,"[{'sku': 'SKU-0189', 'qty': 2, 'amount': 6500}, {'sku': 'SKU-0084', 'qty': 2, 'amount': 6500}]",,,,,
,,,,duplicate,,,,,,,,ORD-000462,1680078222.0,8000.0,NGN,"[{'sku': 'SKU-0162', 'qty': 2, 'amount': 6500}, {'sku': 'SKU-0150', 'qty': 1, 'amount': 1500}]"
,,,,duplicate,,,,,,,,ORD-000990,1682005446.0,5500.0,NGN,"[{'sku': 'SKU-0041', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0055', 'qty': 2, 'amount': 4000}]"
,,,,,,ORD-000397,2023-12-07T14:01:05Z,1500.0,NGN,customer_request,"[{'sku': 'SKU-0006', 'qty': 2, 'amount': 1500}]",,,,,
ORD-000049,2023-06-02T11:45:26,12000.0,NGN,damaged,,,,,,,,,,,,
,,,,,,ORD-000915,2023-03-20T13:45:51Z,18000.0,NGN,damaged,,,,,,
,,,,,,ORD-000184,2023-03-23T20:58:32Z,2500.0,NGN,customer_request,"[{'sku': 'SKU-0120', 'qty': 1, 'amount': 2500}]",,,,,
