order_id,paid_at,payment_status,amountPaid,currencyCode,channel,transaction_id,orderRef,paidAt,status,amount,currency,method,txRef,order,timestamp,state,amt,ccy,paymentMethod,txn
,,,,,,,,,,,,,,ORD-000641,1679910474.0,SUCCESS,18000.0,NGN,ussd,TRX242304
,,,,,,,ORD-001114,2023/06/11 10:54:49,SUCCESS,18000.0,NGN,card,TX-4e1dc6638b67,,,,,,,
,,,,,,,ORD-000288,2023/09/17 08:21:14,SUCCESS,18000.0,NGN,bank_transfer,TX-6ae215a31af5,,,,,,,
ORD-000342,2023-04-10T22:28:18Z,SUCCESS,5000.0,NGN,card,522eca42b219,,,,,,,,,,,,,,
,,,,,,,ORD-001077,2023/07/18 12:23:37,SUCCESS,9000.0,NGN,ussd,TX-487fbefb2df8,,,,,,,
,,,,,,,ORD-001360,2023/06/14 15:00:04,SUCCESS,18000.0,NGN,card,TX-d4306be98502,,,,,,,
,,,,,,,,,,,,,,ORD-000482,1692587116.0,SUCCESS,18000.0,NGN,card,TRX162197
,,,,,,,,,,,,,,ORD-000067,1683601818.0,SUCCESS,9000.0,NGN,ussd,TRX810074
ORD-000858,2023-03-30T09:03:01Z,SUCCESS,9000.0,USD,card,89d4c61b6ff3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000470,1703393151.0,SUCCESS,12000.0,NGN,card,TRX991508
,,,,,,,,,,,,,,ORD-000598,1677639984.0,FAILED,9000.0,NGN,bank_transfer,TRX520204
,,,,,,,,,,,,,,ORD-000095,1677388295.0,SUCCESS,9000.0,NGN,ussd,TRX367755
ORD-000741,2023-06-21T11:40:09Z,SUCCESS,5000.0,NGN,card,c7faa50229e6,,,,,,,,,,,,,,
ORD-000679,2023-08-18T07:34:48Z,FAILED,9000.0,NGN,bank_transfer,7704c33f7bf1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-001068,1679346886.0,SUCCESS,25000.0,NGN,card,TRX490607
,,,,,,,ORD-000174,2023/09/24 06:57:48,SUCCESS,25000.0,NGN,card,TX-7034f83dc28a,,,,,,,
,,,,,,,,,,,,,,ORD-000244,1694090487.0,FAILED,40000.0,NGN,card,TRX712941
,,,,,,,,,,,,,,ORD-000958,1676776072.0,SUCCESS,18000.0,NGN,bank_transfer,TRX324006
,,,,,,,ORD-001043,2023/11/23 22:38:16,SUCCESS,40000.0,NGN,ussd,TX-d3175c68cfb7,,,,,,,
ORD-001032,2023-03-30T18:35:40Z,SUCCESS,25000.0,NGN,card,b08da6a6c530,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000814,1702726584.0,FAILED,40000.0,NGN,bank_transfer,TRX582879
,,,,,,,ORD-000992,2023/10/28 03:43:37,FAILED,40000.0,NGN,card,TX-f8f5a91a3b48,,,,,,,
ORD-000003,2023-09-07T21:34:07Z,SUCCESS,40000.0,NGN,ussd,7d5d339ed645,,,,,,,,,,,,,,
,,,,,,,ORD-000403,2023/04/09 18:12:22,SUCCESS,9000.0,NGN,card,TX-94ac1e7a396d,,,,,,,
,,,,,,,,,,,,,,ORD-001399,1685190741.0,SUCCESS,18000.0,NGN,ussd,TRX681908
,,,,,,,,,,,,,,ORD-000437,1682922289.0,SUCCESS,12000.0,NGN,card,TRX627432
,,,,,,,ORD-000813,2023/04/03 07:53:40,SUCCESS,25000.0,NGN,card,TX-371828f30d8e,,,,,,,
ORD-000422,2023-06-08T11:38:45Z,SUCCESS,12000.0,NGN,bank_transfer,461c91cc1eaf,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-001099,1696811233.0,FAILED,5000.0,NGN,bank_transfer,TRX146822
,,,,,,,,,,,,,,ORD-000499,1694845930.0,FAILED,12000.0,NGN,card,TRX204992
ORD-000576,2023-01-24T08:13:57Z,FAILED,5000.0,NGN,bank_transfer,258c9336e5ad,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-001097,1690882283.0,FAILED,25000.0,NGN,card,TRX876189
,,,,,,,,,,,,,,ORD-000158,1685507892.0,SUCCESS,18000.0,NGN,ussd,TRX333060
,,,,,,,ORD-000019,2023/07/28 17:35:35,SUCCESS,40000.0,NGN,ussd,TX-4f70b37a4fd1,,,,,,,
,,,,,,,ORD-000981,2023/10/14 17:15:44,SUCCESS,25000.0,NGN,card,TX-0b42242571d0,,,,,,,
,,,,,,,,,,,,,,ORD-000628,1688841739.0,SUCCESS,5000.0,NGN,card,TRX470764
,,,,,,,,,,,,,,ORD-000527,1696598833.0,FAILED,5000.0,USD,card,TRX578939
ORD-000495,2023-08-06T17:26:14Z,SUCCESS,40000.0,NGN,card,5d197ba5af42,,,,,,,,,,,,,,
,,,,,,,ORD-000657,2023/03/12 00:32:56,FAILED,5000.0,NGN,card,TX-09b9f129e454,,,,,,,
,,,,,,,ORD-001197,2023/08/30 15:28:17,SUCCESS,12000.0,NGN,ussd,TX-3f067ff060c5,,,,,,,
,,,,,,,,,,,,,,ORD-000861,1688389391.0,FAILED,18000.0,NGN,bank_transfer,TRX962666
ORD-000382,2023-06-16T03:15:19Z,SUCCESS,40000.0,NGN,card,76e63916a211,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000239,1697873142.0,SUCCESS,9000.0,NGN,ussd,TRX987574
ORD-001198,2023-06-05T15:39:08Z,FAILED,18000.0,NGN,ussd,ae7b97e8403f,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000903,1679871523.0,SUCCESS,9000.0,NGN,bank_transfer,TRX581051
,,,,,,,,,,,,,,ORD-001116,1688564425.0,SUCCESS,9000.0,NGN,card,TRX327976
,,,,,,,,,,,,,,ORD-000592,1685308081.0,SUCCESS,18000.0,NGN,bank_transfer,TRX499783
,,,,,,,ORD-000869,2023/10/10 12:59:21,FAILED,5000.0,USD,bank_transfer,TX-ff1569bd4324,,,,,,,
ORD-000937,2023-10-30T14:04:02Z,FAILED,40000.0,NGN,bank_transfer,52184e604cc0,,,,,,,,,,,,,,
ORD-000381,2023-07-18T14:12:30Z,FAILED,25000.0,NGN,ussd,e2885dda9b94,,,,,,,,,,,,,,
ORD-000425,2023-04-12T17:22:55Z,SUCCESS,18000.0,NGN,bank_transfer,70e415012b6c,,,,,,,,,,,,,,
ORD-001158,2023-08-19T08:36:27Z,SUCCESS,9000.0,USD,bank_transfer,3f01e5b2d4a5,,,,,,,,,,,,,,
,,,,,,,ORD-001145,2023/01/02 03:52:04,FAILED,40000.0,NGN,ussd,TX-ab7998859d88,,,,,,,
ORD-000467,2023-10-11T02:10:50Z,FAILED,25000.0,NGN,card,dddd43faff2b,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000297,1692457805.0,FAILED,5000.0,NGN,ussd,TRX501921
ORD-000457,2023-01-26T00:22:52Z,FAILED,40000.0,NGN,bank_transfer,20c2c0a915ea,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000298,1675691618.0,FAILED,25000.0,NGN,bank_transfer,TRX264498
,,,,,,,,,,,,,,ORD-000255,1678993097.0,FAILED,40000.0,NGN,ussd,TRX711727
,,,,,,,,,,,,,,ORD-000821,1674323956.0,SUCCESS,18000.0,NGN,bank_transfer,TRX651362
,,,,,,,,,,,,,,ORD-001067,1680988404.0,SUCCESS,25000.0,USD,bank_transfer,TRX744140
ORD-000117,2023-03-04T14:46:18Z,SUCCESS,5000.0,NGN,card,fb7d83e83a9d,,,,,,,,,,,,,,
ORD-001119,2023-11-04T00:14:59Z,SUCCESS,40000.0,NGN,bank_transfer,9adf7a422acb,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-001095,1675953935.0,SUCCESS,18000.0,NGN,card,TRX321521
ORD-000642,2023-12-01T14:25:10Z,FAILED,5000.0,NGN,bank_transfer,326fe08af15b,,,,,,,,,,,,,,
ORD-000945,2023-11-20T10:17:13Z,SUCCESS,18000.0,NGN,card,4441ffe1cbfc,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000625,1686305989.0,FAILED,5000.0,NGN,ussd,TRX701839
,,,,,,,,,,,,,,ORD-000433,1701151305.0,SUCCESS,25000.0,NGN,ussd,TRX156153
,,,,,,,,,,,,,,ORD-000342,1674120376.0,FAILED,5000.0,NGN,card,TRX623859
ORD-001012,2023-03-15T05:10:53Z,SUCCESS,18000.0,NGN,ussd,1fe9ab844fda,,,,,,,,,,,,,,
ORD-000399,2023-12-24T15:37:35Z,FAILED,25000.0,NGN,card,93302361ddc2,,,,,,,,,,,,,,
ORD-000675,2023-08-13T15:02:19Z,FAILED,25000.0,NGN,card,b1db05290696,,,,,,,,,,,,,,
ORD-000497,2023-09-19T04:40:13Z,FAILED,12000.0,NGN,bank_transfer,7ced51d07277,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000682,1680077841.0,SUCCESS,9000.0,USD,bank_transfer,TRX813118
,,,,,,,ORD-001123,2023/03/01 11:26:54,SUCCESS,9000.0,USD,bank_transfer,TX-a189b16c3104,,,,,,,
,,,,,,,ORD-000316,2023/12/20 17:02:53,SUCCESS,12000.0,NGN,bank_transfer,TX-f89672fc1585,,,,,,,
ORD-000378,2023-08-05T13:41:18Z,SUCCESS,12000.0,NGN,card,61c85cebbf3a,,,,,,,,,,,,,,
,,,,,,,ORD-000863,2023/12/18 07:31:01,SUCCESS,40000.0,USD,ussd,TX-ce5066174400,,,,,,,
,,,,,,,ORD-000077,2023/09/28 09:10:48,SUCCESS,12000.0,NGN,card,TX-1eebe01a87f4,,,,,,,
,,,,,,,ORD-000201,2023/10/08 21:54:16,SUCCESS,5000.0,NGN,bank_transfer,TX-bdc3f5828419,,,,,,,
,,,,,,,ORD-000446,2023/08/23 05:22:17,FAILED,25000.0,NGN,bank_transfer,TX-cd39cd7fdb5a,,,,,,,
,,,,,,,,,,,,,,ORD-000692,1674079450.0,SUCCESS,12000.0,NGN,bank_transfer,TRX479964
,,,,,,,,,,,,,,ORD-001187,1688127766.0,FAILED,5000.0,USD,bank_transfer,TRX689722
,,,,,,,,,,,,,,ORD-000361,1676142030.0,SUCCESS,9000.0,NGN,ussd,TRX444585
ORD-000191,2023-06-05T12:33:30Z,SUCCESS,9000.0,NGN,card,9540435422d6,,,,,,,,,,,,,,
,,,,,,,ORD-000964,2023/12/29 20:21:31,SUCCESS,9000.0,NGN,card,TX-69295cbc1932,,,,,,,
,,,,,,,,,,,,,,ORD-000464,1682387286.0,SUCCESS,12000.0,USD,ussd,TRX239045
,,,,,,,,,,,,,,ORD-000350,1701085483.0,SUCCESS,25000.0,NGN,card,TRX930380
,,,,,,,ORD-000471,2023/06/09 22:12:17,SUCCESS,9000.0,NGN,card,TX-cc7de891961d,,,,,,,
,,,,,,,ORD-000632,2023/02/06 13:29:26,SUCCESS,12000.0,NGN,card,TX-73c927f4fc8e,,,,,,,
ORD-000345,2023-10-23T10:58:35Z,SUCCESS,40000.0,NGN,bank_transfer,e3a608496ed0,,,,,,,,,,,,,,
,,,,,,,ORD-000573,2023/11/10 23:51:28,SUCCESS,25000.0,NGN,bank_transfer,TX-b1f07fa38239,,,,,,,
ORD-000843,2023-09-30T10:56:09Z,SUCCESS,40000.0,NGN,card,19a00596b313,,,,,,,,,,,,,,
ORD-000134,2023-06-11T18:19:34Z,SUCCESS,25000.0,NGN,card,7c4ceeed3223,,,,,,,,,,,,,,
ORD-000633,2023-05-17T12:42:41Z,FAILED,5000.0,NGN,ussd,385659e67dde,,,,,,,,,,,,,,
,,,,,,,ORD-000958,2023/05/05 05:51:40,SUCCESS,12000.0,NGN,ussd,TX-605dc965273e,,,,,,,
,,,,,,,,,,,,,,ORD-000115,1703042192.0,SUCCESS,40000.0,NGN,bank_transfer,TRX961729
,,,,,,,,,,,,,,ORD-000056,1679229805.0,SUCCESS,9000.0,NGN,bank_transfer,TRX885749
,,,,,,,ORD-000360,2023/09/04 06:55:25,SUCCESS,40000.0,NGN,card,TX-45567c714772,,,,,,,
,,,,,,,,,,,,,,ORD-001195,1703956316.0,SUCCESS,9000.0,NGN,ussd,TRX697528
,,,,,,,,,,,,,,ORD-000475,1685406819.0,FAILED,5000.0,NGN,bank_transfer,TRX755477
,,,,,,,,,,,,,,ORD-000393,1695241084.0,FAILED,12000.0,NGN,ussd,TRX232976
ORD-000305,2023-01-01T20:30:40Z,SUCCESS,40000.0,NGN,ussd,4dc222dfdbf7,,,,,,,,,,,,,,
,,,,,,,ORD-000840,2023/03/20 06:47:05,SUCCESS,25000.0,NGN,ussd,TX-2f890462a5bf,,,,,,,
ORD-000488,2023-03-23T01:06:12Z,SUCCESS,40000.0,USD,card,e917dd457a78,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000894,1681067508.0,SUCCESS,12000.0,NGN,ussd,TRX951375
,,,,,,,ORD-000583,2023/10/10 12:24:13,SUCCESS,9000.0,USD,bank_transfer,TX-2d03cea0efe8,,,,,,,
,,,,,,,ORD-000704,2023/06/24 16:07:49,SUCCESS,5000.0,NGN,bank_transfer,TX-3147f6e9b03c,,,,,,,
,,,,,,,ORD-000712,2023/10/22 19:29:42,SUCCESS,25000.0,USD,ussd,TX-0d95ed4258a0,,,,,,,
,,,,,,,,,,,,,,ORD-000765,1681657314.0,SUCCESS,5000.0,NGN,bank_transfer,TRX360821
ORD-000865,2023-05-07T21:36:58Z,FAILED,18000.0,NGN,ussd,e783c2a5acb5,,,,,,,,,,,,,,
ORD-000092,2023-06-27T20:00:03Z,FAILED,5000.0,NGN,ussd,3430d6ca6550,,,,,,,,,,,,,,
ORD-000697,2023-02-22T23:06:00Z,SUCCESS,12000.0,NGN,bank_transfer,fb993c1e4352,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000824,1685190995.0,SUCCESS,25000.0,NGN,bank_transfer,TRX665071
ORD-000529,2023-01-07T08:52:10Z,SUCCESS,40000.0,NGN,card,c05379461864,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-001311,1674258926.0,FAILED,5000.0,NGN,bank_transfer,TRX184718
,,,,,,,ORD-001395,2023/11/07 01:49:16,SUCCESS,18000.0,USD,ussd,TX-7fa26d94bec6,,,,,,,
ORD-000804,2023-11-19T01:20:59Z,SUCCESS,5000.0,NGN,bank_transfer,92fcf8caf555,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000157,1696957864.0,SUCCESS,18000.0,NGN,card,TRX615264
,,,,,,,,,,,,,,ORD-000535,1702287888.0,SUCCESS,40000.0,NGN,card,TRX317566
,,,,,,,,,,,,,,ORD-000754,1702313840.0,SUCCESS,12000.0,NGN,bank_transfer,TRX119552
ORD-000570,2023-10-22T22:45:43Z,SUCCESS,18000.0,NGN,ussd,abf50d63f65c,,,,,,,,,,,,,,
,,,,,,,ORD-001181,2023/07/08 03:36:41,SUCCESS,40000.0,NGN,card,TX-34c32c5749f4,,,,,,,
,,,,,,,ORD-000542,2023/11/05 21:42:35,SUCCESS,40000.0,NGN,card,TX-a9c964c7605c,,,,,,,
ORD-000344,2023-11-08T06:52:08Z,SUCCESS,9000.0,USD,bank_transfer,e4f62fe10a28,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000493,1683393646.0,SUCCESS,9000.0,NGN,bank_transfer,TRX892272
,,,,,,,,,,,,,,ORD-000617,1699025293.0,FAILED,9000.0,NGN,bank_transfer,TRX642430
,,,,,,,ORD-001174,2023/10/22 15:58:40,SUCCESS,40000.0,NGN,ussd,TX-51bb1c49774b,,,,,,,
,,,,,,,,,,,,,,ORD-000662,1684301892.0,FAILED,5000.0,NGN,ussd,TRX907173
ORD-000290,2023-08-02T07:34:52Z,SUCCESS,25000.0,NGN,ussd,0d885b14a37d,,,,,,,,,,,,,,
ORD-000004,2023-09-07T14:24:06Z,SUCCESS,40000.0,NGN,bank_transfer,a23cd7dc4d2d,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000718,1685149271.0,SUCCESS,18000.0,USD,card,TRX443458
,,,,,,,ORD-000106,2023/10/18 05:52:50,SUCCESS,12000.0,NGN,bank_transfer,TX-0339d51be6b8,,,,,,,
ORD-000529,2023-07-17T13:08:54Z,SUCCESS,40000.0,NGN,bank_transfer,e67e51f9d163,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000215,1674945082.0,SUCCESS,12000.0,NGN,card,TRX561105
ORD-000182,2023-10-05T07:33:45Z,SUCCESS,9000.0,NGN,card,77d4c8761bbf,,,,,,,,,,,,,,
ORD-000915,2023-04-19T17:14:02Z,SUCCESS,18000.0,NGN,bank_transfer,e2367b72c2de,,,,,,,,,,,,,,
,,,,,,,ORD-000847,2023/05/31 17:34:46,FAILED,12000.0,NGN,bank_transfer,TX-7c3a4de6277f,,,,,,,
,,,,,,,,,,,,,,ORD-001044,1702788199.0,SUCCESS,18000.0,NGN,ussd,TRX377837
,,,,,,,,,,,,,,ORD-000767,1681678641.0,SUCCESS,12000.0,NGN,ussd,TRX980081
,,,,,,,ORD-000685,2023/08/17 03:16:26,SUCCESS,18000.0,NGN,card,TX-5b376e95b607,,,,,,,
,,,,,,,ORD-000057,2023/07/04 22:29:20,SUCCESS,12000.0,NGN,bank_transfer,TX-4556e22f7cd6,,,,,,,
,,,,,,,ORD-001239,2023/12/03 13:04:38,SUCCESS,12000.0,NGN,bank_transfer,TX-b749954ae9d1,,,,,,,
,,,,,,,ORD-000719,2023/04/26 18:00:17,FAILED,9000.0,NGN,bank_transfer,TX-c99c9d1da47b,,,,,,,
,,,,,,,ORD-000426,2023/08/30 13:22:10,SUCCESS,5000.0,NGN,card,TX-975d05c020a7,,,,,,,
,,,,,,,,,,,,,,ORD-000569,1673655177.0,SUCCESS,40000.0,NGN,bank_transfer,TRX630831
,,,,,,,,,,,,,,ORD-000595,1681369154.0,SUCCESS,12000.0,USD,ussd,TRX786496
,,,,,,,ORD-000749,2023/05/13 19:15:54,SUCCESS,9000.0,NGN,card,TX-c30d07fa4695,,,,,,,
,,,,,,,ORD-000881,2023/09/03 04:07:19,SUCCESS,5000.0,NGN,ussd,TX-39eb042c5a0e,,,,,,,
,,,,,,,,,,,,,,ORD-000060,1697256203.0,FAILED,12000.0,NGN,card,TRX713327
ORD-000741,2023-01-31T05:07:01Z,FAILED,25000.0,NGN,ussd,184654c65419,,,,,,,,,,,,,,
ORD-000818,2023-02-01T04:54:51Z,FAILED,12000.0,NGN,card,43793bcbfe40,,,,,,,,,,,,,,
ORD-000918,2023-06-06T00:58:56Z,SUCCESS,18000.0,NGN,bank_transfer,8dea45eca599,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000191,1694101203.0,SUCCESS,40000.0,NGN,bank_transfer,TRX100062
,,,,,,,,,,,,,,ORD-000946,1692111901.0,SUCCESS,18000.0,NGN,ussd,TRX674158
,,,,,,,,,,,,,,ORD-000033,1685042437.0,SUCCESS,25000.0,NGN,bank_transfer,TRX714640
,,,,,,,,,,,,,,ORD-001079,1693295493.0,FAILED,9000.0,NGN,ussd,TRX825253
,,,,,,,,,,,,,,ORD-000370,1696165991.0,FAILED,5000.0,USD,bank_transfer,TRX430873
,,,,,,,,,,,,,,ORD-000986,1680650337.0,SUCCESS,9000.0,NGN,bank_transfer,TRX170344
,,,,,,,ORD-000727,2023/03/25 23:53:21,SUCCESS,5000.0,NGN,ussd,TX-b4c9e178da8c,,,,,,,
ORD-000630,2023-12-03T22:45:23Z,FAILED,5000.0,NGN,ussd,bace998f9d5e,,,,,,,,,,,,,,
ORD-001025,2023-03-07T02:42:03Z,SUCCESS,9000.0,NGN,bank_transfer,820f83352e1e,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-001284,1681337749.0,SUCCESS,40000.0,USD,card,TRX804850
,,,,,,,,,,,,,,ORD-000463,1688665876.0,SUCCESS,25000.0,USD,bank_transfer,TRX884040
ORD-000833,2023-05-01T10:17:01Z,SUCCESS,5000.0,NGN,bank_transfer,3830c55af19b,,,,,,,,,,,,,,
ORD-000417,2023-01-30T15:40:44Z,SUCCESS,12000.0,NGN,card,8ef26de0b182,,,,,,,,,,,,,,
ORD-000401,2023-12-16T19:09:03Z,SUCCESS,25000.0,NGN,bank_transfer,decc91e62551,,,,,,,,,,,,,,
,,,,,,,ORD-000716,2023/08/30 13:28:02,SUCCESS,9000.0,NGN,ussd,TX-484e92482d5e,,,,,,,
,,,,,,,,,,,,,,ORD-001002,1692741618.0,SUCCESS,5000.0,NGN,ussd,TRX948136
,,,,,,,,,,,,,,ORD-000622,1702266892.0,SUCCESS,25000.0,USD,card,TRX493329
,,,,,,,ORD-001063,2023/05/27 07:56:07,SUCCESS,25000.0,NGN,ussd,TX-433c293794c8,,,,,,,
,,,,,,,,,,,,,,ORD-000199,1679924558.0,SUCCESS,40000.0,NGN,ussd,TRX902610
,,,,,,,ORD-000114,2023/07/26 22:42:13,FAILED,9000.0,NGN,bank_transfer,TX-4002b5f1493f,,,,,,,
ORD-000355,2023-12-22T05:52:55Z,FAILED,12000.0,NGN,ussd,ce206a4f2fcf,,,,,,,,,,,,,,
,,,,,,,ORD-000496,2023/11/23 09:14:57,SUCCESS,25000.0,NGN,card,TX-f15619b39d85,,,,,,,
,,,,,,,ORD-000968,2023/04/25 15:23:20,FAILED,18000.0,NGN,card,TX-92633924820d,,,,,,,
,,,,,,,ORD-000511,2023/05/10 01:38:04,SUCCESS,5000.0,NGN,bank_transfer,TX-96905210eb0c,,,,,,,
,,,,,,,ORD-000657,2023/01/16 03:25:35,FAILED,18000.0,NGN,bank_transfer,TX-9b49e881be28,,,,,,,
,,,,,,,,,,,,,,ORD-000181,1696429003.0,FAILED,40000.0,NGN,card,TRX527050
ORD-001125,2023-09-15T17:36:30Z,SUCCESS,40000.0,NGN,bank_transfer,6a623cacb5d9,,,,,,,,,,,,,,
,,,,,,,ORD-000886,2023/10/19 00:05:50,SUCCESS,12000.0,USD,bank_transfer,TX-da1e945b08a5,,,,,,,
,,,,,,,,,,,,,,ORD-001144,1678697231.0,SUCCESS,25000.0,NGN,card,TRX999349
ORD-000547,2023-03-01T07:16:32Z,FAILED,25000.0,NGN,bank_transfer,a98269767a5c,,,,,,,,,,,,,,
